,ibuprofen,acetaminophen,lidocaine,esomeprazole,pregabalin,oxycodone,fluticasone propionate,valsartan,doxycycline,eszopiclone,sildenafil,abiraterone,tadalafil,aspirin,aripiprazole,budesonide,pradaxa,celecoxib,ezetimibe,vytorin,nicotine,duloxetine,benicar,methylphenidate,insulin lispro,adalimumab,paracetamol,liraglutide,pemetrexed,fenofibrate,rivaroxaban,everolimus,capecitabine,darunavir,triamcinolone,buprenorphine,divalproex sodium,ranibizumab,castor oil,melatonin,epoetin alfa,fentanyl,hydrocodone bitartrate,ustekinumab,lyrica,rituximab,filgrastim,diovan,lantus,insulin glargine,quetiapine,tamiflu,xeloda,isentress,raltegravir,janumet,cinacalcet,atazanavir,hydrocortisone cream,novolog,insulin aspart,warfarin,rosuvastatin,lantus solostar,humira,januvia,sitagliptin,xolair,omalizumab,xarelto,vaccines,imatinib,evista,adderall xr,memantine,aranesp,darbepoetin alfa,sensipar,xgeva,denosumab,stelara,oxycontin,abilify,vyvanse,prezista,raloxifene,seroquel xr,lisdexamfetamine,copaxone,dexlansoprazole,metoprolol,trastuzumab,palivizumab,infliximab,abatacept,gravol,reyataz,pepto bismol,levemir,insulin detemir,tiotropium bromide,lucentis,tylenol pm,enbrel,etanercept,renvela,oseltamivir,crestor,aciphex,ventolin hfa,lunesta,celebrex,solifenacin,mometasone,benadryl,nexplanon,viagra,synthroid,prevnar 13,pitocin,rebif,nexium,cymbalta,flovent hfa,humalog,dexilant,epogen,adderall,remicade,cialis,proair hfa,avonex,fingolimod,synagis,alimta,humalog kwikpen,namenda,bevacizumab,lipitor,heparin,afinitor,nasonex,victoza,avonex pen,zetia,dabigatran,orencia,suboxone,neupogen,zytiga,telaprevir,ritalin,gilenya,atripla,symbicort,avastin,truvada,pegfilgrastim,levothyroxine,herceptin,complera,stribild,rabeprazole,glatiramer,neulasta,insulin,lovaza,atorvastatin,vesicare,restasis,androgel
crohn’s disease,57,47,16,0,12,12,0,12,16,0,16,12,4,60,12,12,0,12,0,0,0,13,0,12,8,12,20,0,0,0,12,12,0,3,6,16,0,0,0,12,0,12,0,0,0,24,0,0,8,8,12,0,0,0,15,0,0,3,0,8,8,25,0,0,0,0,0,0,12,0,51,24,0,0,16,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,12,12,0,12,4,0,0,0,8,8,8,0,0,0,12,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,12,0,0,0,0,12,0,27,0,0,0,0,0,12,0,0,6,0,9,0,0,0,0,0,0,0,13,0,0,0,0,0,0,334,0,12,0,0,0
chagas disease,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,16,2,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,51,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0
3545003.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,3,0,65,3,0,0,0,0,0,0,0,0,0,0,0,0,6,12,0,0,0,6,55,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0
3716002.0,9,9,1,0,0,0,0,1,9,0,1,0,1,16,0,0,0,1,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,10,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,8,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,1,0,0,0
3723001.0,708,608,863,15,30,165,0,31,43,4,50,30,20,4262,30,31,0,147,0,0,91,36,74,39,20,129,67,0,1,0,158,30,0,2,247,43,4,0,15,75,0,33,0,0,1,129,0,1,20,20,30,2,0,0,32,0,260,2,4,20,20,1887,0,0,90,0,0,0,30,48,408,38,0,0,163,30,275,12,0,30,4,0,0,0,0,32,0,0,0,0,37,31,0,130,100,0,4,0,20,20,20,0,0,107,131,0,44,1,9,8,0,117,0,0,10,0,38,0,0,1,0,9,1,0,20,0,0,7,91,10,0,0,30,0,0,0,7,30,3,538,0,0,0,0,0,301,60,0,4,0,6,13,0,0,0,2,0,0,39,6,0,0,12,0,0,852,0,32,0,0,0
4308002.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6142004.0,322,2842,9,0,14,10,0,7,26,4,13,6,3,764,6,7,0,11,0,0,47,11,0,8,5,6,329,1,0,0,6,6,0,1,3,15,5,0,2,8,0,7,0,0,0,10,0,1,4,4,6,12,0,0,7,0,0,1,0,4,4,306,0,0,0,0,0,0,6,0,948,30,0,0,8,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,12,6,1,7,2,0,4,0,4,4,4,0,48,5,7,0,301,0,0,0,0,5,0,0,145,0,7,0,0,1,0,0,0,0,5,0,0,0,1,1,0,0,6,0,0,0,0,6,1,31,0,0,0,0,0,6,0,0,2,0,3,1,0,0,0,1,1,0,14,6,0,0,1,0,0,146,0,19,0,0,0
6471006.0,25,41,1,0,0,19,0,1,14,0,27,0,1,109,0,0,0,1,0,0,112,0,0,4,0,0,24,0,0,0,60,0,0,0,1,4,0,0,2,20,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,130,0,0,0,0,54,0,0,0,0,0,0,0,22,65,0,0,0,0,0,0,6,0,0,0,0,24,0,0,0,0,0,0,0,1,0,1,1,0,0,0,101,0,0,0,0,0,1,1,0,6,0,0,0,0,2,0,0,1,0,54,0,0,1,0,2,15,0,0,0,0,11,1,1,0,0,0,0,0,0,0,114,3,199,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,104,0,14,0,0,0
7973008.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
8357008.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
menstruation,23,34,1,0,0,9,0,1,16,0,1,0,1,23,0,0,0,1,0,0,14,0,0,3,0,0,9,0,0,0,0,0,0,0,1,4,0,0,0,10,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,1,0,0,1,0,11,0,0,1,0,0,0,0,0,0,0,10,1,1,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,11,0,0,0
9829001.0,4,0,0,0,0,2,0,0,0,0,0,0,0,61,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10743008.0,2,6,0,0,0,0,0,0,4,0,3,0,0,6,0,0,0,0,0,0,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,24,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,74,0,0,0,0,0
11381005.0,25,26,1,0,0,0,0,1,6,8,1,0,1,70,0,1,0,1,0,0,35,4,0,2,0,0,2,0,132,0,0,0,0,0,53,17,10,0,28,8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,65,0,0,0,0,40,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,1,0,0,8,0,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,1,0,0,87,0,7,0,0,0
11654001.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13746004.0,88,96,88,0,103,70,0,66,68,1,89,66,22,96,66,66,0,66,0,0,29,66,0,66,44,66,110,0,0,0,66,66,1,0,0,66,0,0,0,69,0,67,0,0,10,66,0,0,44,44,708,3,0,0,66,0,65,0,0,44,44,88,0,0,0,0,0,0,66,0,7,66,0,0,89,6,55,3,0,66,0,0,2,0,0,66,0,0,0,0,66,66,0,66,22,0,0,0,44,44,44,0,0,0,66,0,89,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,44,0,0,0,0,0,0,0,66,0,0,0,0,66,0,137,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,2,0,0,66,0,0,0,0,0,0,907,0,66,0,0,0
34486009.0,0,1,279,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
40930008.0,0,1,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0
14669001.0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15188001.0,2,3,1,0,0,0,0,1,1,0,1,0,1,14,0,0,0,1,0,0,10,0,0,2,12,0,1,0,0,0,60,0,0,0,1,0,0,0,3,1,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,65,0,0,0,0,4,0,0,0,0,48,0,0,22,6,0,0,0,0,6,55,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,368,0,1,0,0,0
18193002.0,2,3,1,0,0,0,0,1,1,0,1,0,1,5,0,0,0,1,0,0,6,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0
18718003.0,2,3,1,0,0,0,0,1,10,0,1,0,1,6,0,0,0,1,0,0,10,0,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,40,1,0,1,0,0,0,11,0,1,0,0,0,0,0,2,60,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,1,0,0,0
21134002.0,2,57,1,0,0,2,0,4,11,0,1,0,1,60,0,0,0,1,0,0,35,2,0,3,0,0,3,0,0,27,62,0,0,0,1,8,0,0,0,2,0,1,0,0,0,0,0,3,1,1,0,7,0,0,0,0,2,0,0,1,1,16,0,0,0,0,0,0,0,22,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,8,1,0,0,0,0,1,1,0,0,0,1,1,0,15,0,0,0,0,1,0,0,1,0,6,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,80,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,201,0,19,0,0,0
396275006.0,149,23,9,0,6,66,0,31,12,0,9,6,3,1660,6,7,0,67,0,0,11,7,0,7,4,6,12,0,0,0,193,7,0,0,45,11,0,0,0,14,0,7,0,0,0,6,0,1,4,4,6,0,0,0,6,0,130,0,18,4,4,916,0,0,0,0,0,0,6,70,86,6,0,0,131,12,110,6,0,6,0,0,0,0,0,6,0,0,0,0,12,6,0,7,2,0,0,0,4,4,4,0,0,1,7,0,12,0,0,0,0,61,0,0,1,0,31,0,0,5,0,0,0,0,4,0,0,0,1,1,0,0,6,0,0,0,7,6,1,202,0,0,0,0,0,133,0,0,0,0,0,1,0,0,0,4,0,0,6,0,0,0,1,0,0,272,0,7,0,0,0
