English,Chinese,French,Spanish
chronic fatigue syndrome,慢性疲劳综合症,syndrome de fatigue chronique,síndrome de fatiga crónica
coronary artery disease,冠状动脉疾病,maladie coronarienne,enfermedad de la arteria coronaria
upper respiratory infection,上呼吸道感染,infection des voies respiratoires supérieures,infección del tracto respiratorio superior
alopecia,脱发,alopécie,alopecia
sexual dysfunction,性功能障碍,dysfonction sexuelle,disfunción sexual
nerve damage,神经损伤,dommages aux nerfs,daño nervioso
carpal tunnel syndrome,腕管综合征,syndrome du canal carpien,síndrome del túnel carpiano
liver failure,肝衰竭,insuffisance hépatique,insuficiencia hepática
tinnitus,耳鸣,acouphènes,tinnitus
malaria,疟疾,paludisme,malaria
phlebitis,静脉炎,phlébite,flebitis
diarrhoea,腹泻,diarrhée,diarrea
vision problems,视力问题,problèmes de vision,problemas de visión
aortic aneurysem,主动脉瘤,anévrisme aortique,aneurisma aórtico
urinary tract infection,尿路感染,infection urinaire,infección del tracto urinario
psychosis,精神病,psychose,psicosis
rheumatoid arthritis,风湿性关节炎,arthrite rhumatoïde,artritis reumatoide
diabetes,糖尿病,diabète,diabetes
stevens johnson syndrome,史蒂文斯-约翰逊综合症,syndrome de Stevens-Johnson,síndrome de Stevens-Johnson
mental illness,精神疾病,maladie mentale,enfermedad mental
pancreatitis,胰腺炎,pancréatite,pancreatitis
adenomyosis,腺肌症,adénomyose,adenomiosis
als,肌萎缩侧索硬化症,SLA,ELA (esclerosis lateral amiotrófica)
chronic kidney disease,慢性肾脏病,maladie rénale chronique,enfermedad renal crónica
endometriosis,子宫内膜异位症,endométriose,endometriosis
asthma,哮喘,asthme,asma
lupus,红斑狼疮,lupus,lupus
pneumonia,肺炎,pneumonie,neumonía
arrhythmia,心律失常,arythmie,arritmia
