Disease,Demographics,Counts
26929004.0,native american/indigenous,38
26929004.0,pacific islander,11
26929004.0,white/caucasian,2168
29384001.0,asian,68
29384001.0,black/african american,142
29384001.0,hispanic/latino,14
29384001.0,native american/indigenous,12
29384001.0,white/caucasian,148
30811009.0,black/african american,1
30811009.0,white/caucasian,3
31384009.0,asian,1
31384009.0,black/african american,30
31384009.0,hispanic/latino,4
31384009.0,white/caucasian,60
32398004.0,asian,30
32398004.0,black/african american,267
32398004.0,hispanic/latino,35
32398004.0,native american/indigenous,53
32398004.0,white/caucasian,319
32798002.0,asian,95
32798002.0,black/african american,274
32798002.0,hispanic/latino,49
32798002.0,native american/indigenous,28
32798002.0,pacific islander,1
32798002.0,white/caucasian,856
32914008.0,asian,11
32914008.0,black/african american,15
32914008.0,hispanic/latino,4
32914008.0,white/caucasian,61
34486009.0,asian,41
34486009.0,black/african american,100
34486009.0,hispanic/latino,12
34486009.0,native american/indigenous,4
34486009.0,pacific islander,3
34486009.0,white/caucasian,204
34840004.0,asian,3
34840004.0,black/african american,74
34840004.0,hispanic/latino,3
34840004.0,native american/indigenous,1
34840004.0,white/caucasian,67
3545003.0,asian,10
3545003.0,black/african american,47
3545003.0,hispanic/latino,11
3545003.0,white/caucasian,92
35489007.0,asian,1664
35489007.0,black/african american,15389
35489007.0,hispanic/latino,2497
35489007.0,native american/indigenous,794
35489007.0,pacific islander,143
35489007.0,white/caucasian,14660
36971009.0,asian,1
36971009.0,black/african american,48
36971009.0,hispanic/latino,1
36971009.0,native american/indigenous,1
36971009.0,white/caucasian,30
3716002.0,asian,7
3716002.0,black/african american,90
3716002.0,hispanic/latino,8
3716002.0,native american/indigenous,8
3716002.0,white/caucasian,107
3723001.0,asian,387
3723001.0,black/african american,2241
3723001.0,hispanic/latino,303
3723001.0,native american/indigenous,190
3723001.0,pacific islander,13
3723001.0,white/caucasian,3230
37340000.0,asian,3
37340000.0,black/african american,28
37340000.0,hispanic/latino,2
37340000.0,native american/indigenous,3
37340000.0,white/caucasian,46
39400004.0,asian,34
39400004.0,black/african american,141
39400004.0,hispanic/latino,18
39400004.0,native american/indigenous,1
39400004.0,white/caucasian,164
39621005.0,asian,41
39621005.0,black/african american,244
39621005.0,hispanic/latino,43
39621005.0,native american/indigenous,63
39621005.0,pacific islander,2
39621005.0,white/caucasian,304
396275006.0,asian,113
396275006.0,black/african american,311
396275006.0,hispanic/latino,63
396275006.0,native american/indigenous,28
396275006.0,pacific islander,2
396275006.0,white/caucasian,921
40733004.0,asian,3284
40733004.0,black/african american,16435
40733004.0,hispanic/latino,2673
40733004.0,native american/indigenous,1634
40733004.0,pacific islander,178
40733004.0,white/caucasian,22250
40930008.0,asian,8
40930008.0,black/african american,43
40930008.0,hispanic/latino,4
40930008.0,native american/indigenous,2
40930008.0,pacific islander,2
40930008.0,white/caucasian,99
43116000.0,asian,63
43116000.0,black/african american,346
43116000.0,hispanic/latino,43
43116000.0,native american/indigenous,25
43116000.0,pacific islander,3
43116000.0,white/caucasian,531
44054006.0,asian,1994
44054006.0,black/african american,2495
44054006.0,hispanic/latino,1236
44054006.0,native american/indigenous,744
44054006.0,pacific islander,127
44054006.0,white/caucasian,4200
46635009.0,asian,7
46635009.0,black/african american,46
46635009.0,hispanic/latino,12
46635009.0,native american/indigenous,7
46635009.0,white/caucasian,114
49049000.0,asian,119
49049000.0,black/african american,710
49049000.0,hispanic/latino,124
49049000.0,native american/indigenous,28
49049000.0,pacific islander,18
49049000.0,white/caucasian,5109
49601007.0,asian,2000
49601007.0,black/african american,5506
49601007.0,hispanic/latino,1430
49601007.0,native american/indigenous,1083
49601007.0,pacific islander,162
49601007.0,white/caucasian,7881
50829006.0,asian,6
50829006.0,black/african american,27
50829006.0,hispanic/latino,7
50829006.0,native american/indigenous,1
50829006.0,white/caucasian,18
52448006.0,asian,493
52448006.0,black/african american,2882
52448006.0,hispanic/latino,822
52448006.0,native american/indigenous,188
52448006.0,pacific islander,28
52448006.0,white/caucasian,5443
52702003.0,asian,3
52702003.0,black/african american,28
52702003.0,hispanic/latino,4
52702003.0,native american/indigenous,1
52702003.0,white/caucasian,116
53741008.0,asian,335
53741008.0,black/african american,603
53741008.0,hispanic/latino,86
53741008.0,native american/indigenous,67
53741008.0,pacific islander,7
53741008.0,white/caucasian,1197
54150009.0,asian,8
54150009.0,black/african american,29
54150009.0,hispanic/latino,4
54150009.0,native american/indigenous,2
54150009.0,white/caucasian,103
56317004.0,asian,70
56317004.0,black/african american,1414
56317004.0,hispanic/latino,23
56317004.0,native american/indigenous,8
56317004.0,white/caucasian,367
56925008.0,asian,119
56925008.0,black/african american,345
56925008.0,hispanic/latino,70
56925008.0,native american/indigenous,7
56925008.0,pacific islander,1
56925008.0,white/caucasian,372
57182000.0,asian,19
57182000.0,black/african american,146
57182000.0,hispanic/latino,24
57182000.0,native american/indigenous,9
57182000.0,white/caucasian,330
57406009.0,asian,4
57406009.0,black/african american,40
57406009.0,hispanic/latino,13
57406009.0,native american/indigenous,1
57406009.0,white/caucasian,83
59927004.0,asian,412
59927004.0,black/african american,760
59927004.0,hispanic/latino,220
59927004.0,native american/indigenous,103
59927004.0,pacific islander,7
59927004.0,white/caucasian,1472
60862001.0,asian,11
60862001.0,black/african american,133
60862001.0,hispanic/latino,81
60862001.0,native american/indigenous,6
60862001.0,pacific islander,2
60862001.0,white/caucasian,545
6142004.0,asian,1987
6142004.0,black/african american,1869
6142004.0,hispanic/latino,229
6142004.0,native american/indigenous,233
6142004.0,pacific islander,12
6142004.0,white/caucasian,2151
61462000.0,asian,813
61462000.0,black/african american,8828
61462000.0,hispanic/latino,620
61462000.0,native american/indigenous,939
61462000.0,pacific islander,128
61462000.0,white/caucasian,2737
61599003.0,asian,3
61599003.0,black/african american,12
61599003.0,hispanic/latino,6
61599003.0,native american/indigenous,2
61599003.0,white/caucasian,24
62315008.0,asian,360
62315008.0,black/african american,1755
62315008.0,hispanic/latino,222
62315008.0,native american/indigenous,231
62315008.0,pacific islander,4
62315008.0,white/caucasian,2101
63102001.0,asian,6
63102001.0,black/african american,58
63102001.0,hispanic/latino,3
63102001.0,native american/indigenous,11
63102001.0,white/caucasian,80
6471006.0,asian,1154
6471006.0,black/african american,8313
6471006.0,hispanic/latino,1127
6471006.0,native american/indigenous,2391
6471006.0,pacific islander,119
6471006.0,white/caucasian,10149
68566005.0,asian,10
68566005.0,black/african american,65
68566005.0,hispanic/latino,14
68566005.0,native american/indigenous,10
68566005.0,white/caucasian,300
69322001.0,asian,86
69322001.0,black/african american,675
69322001.0,hispanic/latino,73
69322001.0,native american/indigenous,53
69322001.0,pacific islander,9
69322001.0,white/caucasian,838
698247007.0,asian,210
698247007.0,black/african american,742
698247007.0,hispanic/latino,103
698247007.0,native american/indigenous,20
698247007.0,pacific islander,7
698247007.0,white/caucasian,1906
69896004.0,asian,168
69896004.0,black/african american,879
69896004.0,hispanic/latino,104
69896004.0,native american/indigenous,54
69896004.0,pacific islander,1
69896004.0,white/caucasian,1460
709044004.0,asian,179
709044004.0,black/african american,967
709044004.0,hispanic/latino,122
709044004.0,native american/indigenous,106
709044004.0,pacific islander,12
709044004.0,white/caucasian,803
73211009.0,asian,5831
73211009.0,black/african american,12092
73211009.0,hispanic/latino,5534
73211009.0,native american/indigenous,3133
73211009.0,pacific islander,538
73211009.0,white/caucasian,19060
73442001.0,asian,2
73442001.0,black/african american,3
74732009.0,asian,1741
74732009.0,black/african american,7274
74732009.0,hispanic/latino,2236
74732009.0,native american/indigenous,2263
74732009.0,pacific islander,185
74732009.0,white/caucasian,7000
75694006.0,asian,79
75694006.0,black/african american,220
75694006.0,hispanic/latino,34
75694006.0,native american/indigenous,8
75694006.0,white/caucasian,472
76376003.0,asian,8
76376003.0,black/african american,15
76376003.0,white/caucasian,8
7973008.0,asian,1
7973008.0,black/african american,6
7973008.0,white/caucasian,7
8357008.0,asian,3
8357008.0,black/african american,11
8357008.0,hispanic/latino,1
8357008.0,native american/indigenous,1
8357008.0,white/caucasian,19
86044005.0,asian,11
86044005.0,black/african american,96
86044005.0,hispanic/latino,9
86044005.0,native american/indigenous,13
86044005.0,white/caucasian,254
91302008,asian,137
91302008,black/african american,760
91302008,hispanic/latino,113
91302008,native american/indigenous,59
91302008,pacific islander,5
91302008,white/caucasian,1813
9829001.0,black/african american,5
9829001.0,hispanic/latino,1
9829001.0,white/caucasian,5
chagas disease,asian,4
chagas disease,black/african american,910
chagas disease,hispanic/latino,1261
chagas disease,native american/indigenous,37
chagas disease,pacific islander,1
chagas disease,white/caucasian,86
covid-19,asian,1150
covid-19,black/african american,3462
covid-19,hispanic/latino,825
covid-19,native american/indigenous,474
covid-19,pacific islander,37
covid-19,white/caucasian,7406
crohn’s disease,asian,33
crohn’s disease,black/african american,99
crohn’s disease,hispanic/latino,14
crohn’s disease,native american/indigenous,2
crohn’s disease,white/caucasian,241
endocarditis,asian,12
endocarditis,black/african american,79
endocarditis,hispanic/latino,9
endocarditis,native american/indigenous,13
endocarditis,white/caucasian,294
hepatitis b,asian,939
hepatitis b,black/african american,702
hepatitis b,hispanic/latino,128
hepatitis b,native american/indigenous,172
hepatitis b,pacific islander,107
hepatitis b,white/caucasian,903
hiv/aids,asian,192
hiv/aids,black/african american,2540
hiv/aids,hispanic/latino,451
hiv/aids,native american/indigenous,113
hiv/aids,pacific islander,25
hiv/aids,white/caucasian,1304
hypertension,asian,1604
hypertension,black/african american,9485
hypertension,hispanic/latino,1719
hypertension,native american/indigenous,483
hypertension,pacific islander,126
hypertension,white/caucasian,11717
menstruation,asian,40
menstruation,black/african american,312
menstruation,hispanic/latino,64
menstruation,native american/indigenous,73
menstruation,white/caucasian,315
sarcoidoses,asian,3
sarcoidoses,black/african american,44
sarcoidoses,hispanic/latino,1
sarcoidoses,native american/indigenous,6
sarcoidoses,white/caucasian,44
syphilis,asian,48
syphilis,black/african american,2147
syphilis,hispanic/latino,230
syphilis,native american/indigenous,168
syphilis,pacific islander,36
syphilis,white/caucasian,1001
takotsubo cardiomyopathy,asian,5
takotsubo cardiomyopathy,black/african american,19
takotsubo cardiomyopathy,hispanic/latino,3
takotsubo cardiomyopathy,native american/indigenous,1
takotsubo cardiomyopathy,pacific islander,1
takotsubo cardiomyopathy,white/caucasian,65
tuberculoses,asian,638
tuberculoses,black/african american,3523
tuberculoses,hispanic/latino,391
tuberculoses,native american/indigenous,609
tuberculoses,pacific islander,32
tuberculoses,white/caucasian,2809
ulcerative colitis,asian,65
ulcerative colitis,black/african american,157
ulcerative colitis,hispanic/latino,36
ulcerative colitis,native american/indigenous,11
ulcerative colitis,pacific islander,2
ulcerative colitis,white/caucasian,501
