Disease,Demographics,Counts
6471006.0,non-binary,8018
68566005.0,female,4826
68566005.0,male,2785
68566005.0,non-binary,7
69322001.0,female,10069
69322001.0,male,16355
69322001.0,non-binary,115
698247007.0,female,8327
698247007.0,male,10492
698247007.0,non-binary,8
69896004.0,female,12305
69896004.0,male,6280
69896004.0,non-binary,23
709044004.0,female,4509
709044004.0,male,5181
709044004.0,non-binary,5
73211009.0,female,106426
73211009.0,male,103564
73211009.0,non-binary,151
73442001.0,female,33
73442001.0,male,30
74732009.0,female,128572
74732009.0,male,159746
74732009.0,non-binary,4418
75694006.0,female,3560
75694006.0,male,5341
75694006.0,non-binary,7
76376003.0,female,1003
76376003.0,male,138
7973008.0,female,104
7973008.0,male,44
8357008.0,female,1400
8357008.0,male,1452
8357008.0,non-binary,20
86044005.0,female,1903
86044005.0,male,2994
86044005.0,non-binary,4
91302008,female,10913
91302008,male,11931
91302008,non-binary,24
9829001.0,female,105
9829001.0,male,289
chagas disease,female,547
chagas disease,male,492
covid-19,female,20914
covid-19,male,39751
covid-19,non-binary,147
crohn’s disease,female,1914
crohn’s disease,male,1962
crohn’s disease,non-binary,8
endocarditis,female,1668
endocarditis,male,2731
endocarditis,non-binary,5
hepatitis b,female,7234
hepatitis b,male,6995
hepatitis b,non-binary,313
hiv/aids,female,12386
hiv/aids,male,11262
hiv/aids,non-binary,2045
hypertension,female,63978
hypertension,male,64081
hypertension,non-binary,62
menstruation,female,22076
menstruation,male,5099
menstruation,non-binary,134
sarcoidoses,female,243
sarcoidoses,male,245
syphilis,female,8426
syphilis,male,13284
syphilis,non-binary,802
takotsubo cardiomyopathy,female,801
takotsubo cardiomyopathy,male,267
takotsubo cardiomyopathy,non-binary,1
tuberculoses,female,21888
tuberculoses,male,33360
tuberculoses,non-binary,115
ulcerative colitis,female,2570
ulcerative colitis,male,2856
ulcerative colitis,non-binary,13
